Gmt time,Open,High,Low,Close,Volume
15.11.2016 00:00:00.000,1.07458,1.08167,1.07142,1.07248,310714.7188
16.11.2016 00:00:00.000,1.07247,1.07596,1.06662,1.07067,289975.5313
17.11.2016 00:00:00.000,1.07066,1.07457,1.06201,1.06223,258387.3906
18.11.2016 00:00:00.000,1.06221,1.06430,1.05694,1.05909,270838.4375
20.11.2016 00:00:00.000,1.05929,1.05949,1.05790,1.05832,11393.0098
21.11.2016 00:00:00.000,1.05831,1.06493,1.05831,1.06379,237758.0156
22.11.2016 00:00:00.000,1.06377,1.06581,1.05838,1.06334,222178.9375
23.11.2016 00:00:00.000,1.06333,1.06438,1.05264,1.05424,242561.9531
24.11.2016 00:00:00.000,1.05425,1.05854,1.05183,1.05605,196299.125
25.11.2016 00:00:00.000,1.05604,1.06275,1.05388,1.05991,223998.3438
27.11.2016 00:00:00.000,1.06119,1.06119,1.05947,1.06094,7394.2998
28.11.2016 00:00:00.000,1.06090,1.06858,1.05640,1.06192,243655.7188
29.11.2016 00:00:00.000,1.06192,1.06548,1.05651,1.06477,229050.5938
30.11.2016 00:00:00.000,1.06473,1.06667,1.05528,1.05907,289764.6875
01.12.2016 00:00:00.000,1.05906,1.06689,1.05847,1.06626,276073.0625
02.12.2016 00:00:00.000,1.06625,1.06900,1.06255,1.06698,244640.6406
04.12.2016 00:00:00.000,1.06327,1.06327,1.05068,1.05677,25596.6602
05.12.2016 00:00:00.000,1.05678,1.07965,1.05378,1.07569,304031.4688
06.12.2016 00:00:00.000,1.07567,1.07855,1.06987,1.07190,224937.3906
07.12.2016 00:00:00.000,1.07187,1.07685,1.07101,1.07595,188311.9219
08.12.2016 00:00:00.000,1.07594,1.08740,1.05977,1.06216,254389.3594
09.12.2016 00:00:00.000,1.06212,1.06298,1.05311,1.05633,194166.7969
11.12.2016 00:00:00.000,1.05343,1.05526,1.05343,1.05466,6689.0098
12.12.2016 00:00:00.000,1.05466,1.06520,1.05257,1.06425,227723.9375
13.12.2016 00:00:00.000,1.06423,1.06674,1.06039,1.06279,211391.5938
14.12.2016 00:00:00.000,1.06280,1.06702,1.04967,1.05125,238674.4531
15.12.2016 00:00:00.000,1.05125,1.05232,1.03667,1.04172,294251.6875
16.12.2016 00:00:00.000,1.04172,1.04746,1.04009,1.04550,205209.4375
18.12.2016 00:00:00.000,1.04444,1.04578,1.04383,1.04469,6231.6602
19.12.2016 00:00:00.000,1.04467,1.04796,1.03927,1.04030,191961.8906
20.12.2016 00:00:00.000,1.04028,1.04182,1.03524,1.03909,190276.8906
21.12.2016 00:00:00.000,1.03909,1.04512,1.03828,1.04268,174857.7656
22.12.2016 00:00:00.000,1.04266,1.04994,1.04257,1.04383,179378.8125
23.12.2016 00:00:00.000,1.04382,1.04691,1.04269,1.04560,113668.2969
25.12.2016 00:00:00.000,1.04665,1.04665,1.04516,1.04545,2395.01
26.12.2016 00:00:00.000,1.04545,1.04684,1.04421,1.04547,105257.7422
27.12.2016 00:00:00.000,1.04548,1.04635,1.04327,1.04617,106407.7813
28.12.2016 00:00:00.000,1.04616,1.04801,1.03723,1.04147,157980.2344
29.12.2016 00:00:00.000,1.04147,1.06585,1.04144,1.05670,179250.0938
30.12.2016 00:00:00.000,1.05669,1.05915,1.05061,1.05219,204454.5313
01.01.2017 00:00:00.000,1.05236,1.05426,1.05221,1.05282,396.68
02.01.2017 00:00:00.000,1.05283,1.05286,1.04505,1.04579,88389.8516
03.01.2017 00:00:00.000,1.04578,1.04903,1.03405,1.04179,225709.6719
04.01.2017 00:00:00.000,1.04179,1.05015,1.03902,1.04973,232956.875
05.01.2017 00:00:00.000,1.04971,1.06154,1.04827,1.06041,280852.5938
