Local time,Open,High,Low,Close,Volume
15.07.2018 19:00:00.000 GMT-0500,1.16787,1.17256,1.16759,1.17094,234957.1875
16.07.2018 19:00:00.000 GMT-0500,1.17094,1.17449,1.16489,1.16534,268401.4063
17.07.2018 19:00:00.000 GMT-0500,1.16537,1.16651,1.16022,1.16453,262116.2031
18.07.2018 19:00:00.000 GMT-0500,1.16451,1.16789,1.15751,1.16548,314520.6563
19.07.2018 19:00:00.000 GMT-0500,1.16549,1.17392,1.16266,1.17205,303662.7813
21.07.2018 19:00:00.000 GMT-0500,1.17285,1.17458,1.17239,1.17407,13564.2197
22.07.2018 19:00:00.000 GMT-0500,1.17407,1.17499,1.16839,1.16939,242800.5313
23.07.2018 19:00:00.000 GMT-0500,1.16938,1.17171,1.16549,1.16848,251522.0313
24.07.2018 19:00:00.000 GMT-0500,1.16848,1.17390,1.16642,1.17384,264603.125
25.07.2018 19:00:00.000 GMT-0500,1.17383,1.17439,1.16382,1.16441,259909.5938
26.07.2018 19:00:00.000 GMT-0500,1.16438,1.16646,1.16208,1.16585,222756.6563
28.07.2018 19:00:00.000 GMT-0500,1.16604,1.16609,1.16563,1.16596,6492.9902
29.07.2018 19:00:00.000 GMT-0500,1.16595,1.17190,1.16482,1.17076,195524.2188
30.07.2018 19:00:00.000 GMT-0500,1.17077,1.17461,1.16841,1.16894,231596.9063
31.07.2018 19:00:00.000 GMT-0500,1.16894,1.16998,1.16575,1.16635,258679.875
01.08.2018 19:00:00.000 GMT-0500,1.16635,1.16678,1.15820,1.15853,240121.1563
02.08.2018 19:00:00.000 GMT-0500,1.15854,1.16107,1.15605,1.15691,232033.6875
04.08.2018 19:00:00.000 GMT-0500,1.15731,1.15732,1.15606,1.15617,9013
05.08.2018 19:00:00.000 GMT-0500,1.15616,1.15706,1.15302,1.15584,216280.6563
06.08.2018 19:00:00.000 GMT-0500,1.15583,1.16084,1.15518,1.16033,208616.875
07.08.2018 19:00:00.000 GMT-0500,1.16033,1.16285,1.15734,1.16095,201341.1406
08.08.2018 19:00:00.000 GMT-0500,1.16095,1.16194,1.15166,1.15242,236015.5
09.08.2018 19:00:00.000 GMT-0500,1.15242,1.15366,1.13883,1.14130,294155.7813
11.08.2018 19:00:00.000 GMT-0500,1.13731,1.14118,1.13727,1.13950,13380.3701
12.08.2018 19:00:00.000 GMT-0500,1.13949,1.14330,1.13652,1.14009,275507.4063
13.08.2018 19:00:00.000 GMT-0500,1.14008,1.14296,1.13304,1.13470,263991.8438
14.08.2018 19:00:00.000 GMT-0500,1.13470,1.13551,1.13012,1.13419,253138.3281
15.08.2018 19:00:00.000 GMT-0500,1.13419,1.14093,1.13361,1.13721,251177.2969
16.08.2018 19:00:00.000 GMT-0500,1.13721,1.14450,1.13667,1.14396,212886.2031
18.08.2018 19:00:00.000 GMT-0500,1.14419,1.14419,1.14357,1.14381,7754.1899
19.08.2018 19:00:00.000 GMT-0500,1.14382,1.14934,1.13947,1.14921,218500.0156
20.08.2018 19:00:00.000 GMT-0500,1.14919,1.16015,1.14859,1.15762,256942.7188
21.08.2018 19:00:00.000 GMT-0500,1.15762,1.16231,1.15534,1.15862,230830.6563
22.08.2018 19:00:00.000 GMT-0500,1.15861,1.15909,1.15301,1.15423,231280.6875
23.08.2018 19:00:00.000 GMT-0500,1.15421,1.16400,1.15383,1.16223,228247.7656
25.08.2018 19:00:00.000 GMT-0500,1.16189,1.16536,1.16182,1.16453,8675.0498
26.08.2018 19:00:00.000 GMT-0500,1.16453,1.16938,1.15948,1.16844,202379.4063
27.08.2018 19:00:00.000 GMT-0500,1.16844,1.17337,1.16628,1.16936,230813.2656
28.08.2018 19:00:00.000 GMT-0500,1.16935,1.17107,1.16523,1.17097,235591.9688
29.08.2018 19:00:00.000 GMT-0500,1.17097,1.17185,1.16419,1.16656,237717.9688
30.08.2018 19:00:00.000 GMT-0500,1.16656,1.16904,1.15848,1.16054,239321.0938
01.09.2018 19:00:00.000 GMT-0500,1.15989,1.16048,1.15929,1.15984,7368.46
02.09.2018 19:00:00.000 GMT-0500,1.15982,1.16280,1.15892,1.16144,167184.125
03.09.2018 19:00:00.000 GMT-0500,1.16143,1.16144,1.15304,1.15874,219819.6563
04.09.2018 19:00:00.000 GMT-0500,1.15874,1.16401,1.15430,1.16347,257820.375
05.09.2018 19:00:00.000 GMT-0500,1.16347,1.16595,1.16057,1.16201,235651.8594
06.09.2018 19:00:00.000 GMT-0500,1.16202,1.16496,1.15509,1.15545,236069.8281
08.09.2018 19:00:00.000 GMT-0500,1.15506,1.15611,1.15481,1.15608,6841.7798
09.09.2018 19:00:00.000 GMT-0500,1.15608,1.16165,1.15262,1.15938,191802.75
10.09.2018 19:00:00.000 GMT-0500,1.15938,1.16443,1.15657,1.15960,212981.1875
11.09.2018 19:00:00.000 GMT-0500,1.15956,1.16499,1.15704,1.16258,228314.9844
12.09.2018 19:00:00.000 GMT-0500,1.16256,1.17012,1.16093,1.16914,226436.8906
13.09.2018 19:00:00.000 GMT-0500,1.16915,1.17218,1.16209,1.16246,202525.4844
15.09.2018 19:00:00.000 GMT-0500,1.16271,1.16340,1.16222,1.16237,6933.0298
16.09.2018 19:00:00.000 GMT-0500,1.16237,1.16983,1.16182,1.16690,188956.625
17.09.2018 19:00:00.000 GMT-0500,1.16688,1.17245,1.16524,1.16779,230896.4688
18.09.2018 19:00:00.000 GMT-0500,1.16780,1.17151,1.16503,1.16743,228790.7344
19.09.2018 19:00:00.000 GMT-0500,1.16739,1.17847,1.16722,1.17758,247607.9063
20.09.2018 19:00:00.000 GMT-0500,1.17758,1.18030,1.17329,1.17523,205755.7813
22.09.2018 19:00:00.000 GMT-0500,1.17504,1.17532,1.17419,1.17489,7341.3101
23.09.2018 19:00:00.000 GMT-0500,1.17485,1.18154,1.17244,1.17529,205406
24.09.2018 19:00:00.000 GMT-0500,1.17529,1.17928,1.17312,1.17631,209077.5313
25.09.2018 19:00:00.000 GMT-0500,1.17631,1.17981,1.17260,1.17473,308295.3438
26.09.2018 19:00:00.000 GMT-0500,1.17473,1.17573,1.16333,1.16363,242057.5938
27.09.2018 19:00:00.000 GMT-0500,1.16363,1.16514,1.15699,1.16053,233111.7344
29.09.2018 19:00:00.000 GMT-0500,1.16207,1.16207,1.16031,1.16055,10926.9199
30.09.2018 19:00:00.000 GMT-0500,1.16055,1.16249,1.15638,1.15774,206561.125
01.10.2018 19:00:00.000 GMT-0500,1.15774,1.15803,1.15054,1.15507,244471.8281
02.10.2018 19:00:00.000 GMT-0500,1.15507,1.15940,1.14647,1.14766,256295.7813
03.10.2018 19:00:00.000 GMT-0500,1.14767,1.15428,1.14635,1.15178,234956.6875
04.10.2018 19:00:00.000 GMT-0500,1.15176,1.15500,1.14842,1.15243,228647.8125
