Local time,Open,High,Low,Close,Volume
06.02.2018 06:00:00.000 GMT-0600,1.23720,1.23731,1.23141,1.23443,94691.70109999999
06.02.2018 10:00:00.000 GMT-0600,1.23443,1.24049,1.23420,1.23917,69117.8808
06.02.2018 14:00:00.000 GMT-0600,1.23919,1.23957,1.23701,1.23807,33509.3496
06.02.2018 18:00:00.000 GMT-0600,1.23806,1.23937,1.23761,1.23858,36508.569200000005
06.02.2018 22:00:00.000 GMT-0600,1.23858,1.24059,1.23774,1.23830,35900.4697
07.02.2018 02:00:00.000 GMT-0600,1.23830,1.23887,1.23377,1.23501,62710.831
07.02.2018 06:00:00.000 GMT-0600,1.23501,1.23511,1.22853,1.22932,64095.4698
07.02.2018 10:00:00.000 GMT-0600,1.22931,1.23049,1.22460,1.22770,73854.9785
07.02.2018 14:00:00.000 GMT-0600,1.22771,1.22804,1.22528,1.22703,36200.470199999996
07.02.2018 18:00:00.000 GMT-0600,1.22703,1.22870,1.22657,1.22754,35684.739799999996
07.02.2018 22:00:00.000 GMT-0600,1.22754,1.22951,1.22548,1.22682,49239.9882
08.02.2018 02:00:00.000 GMT-0600,1.22680,1.22708,1.22252,1.22335,66683.7999
08.02.2018 06:00:00.000 GMT-0600,1.22334,1.22951,1.22124,1.22602,82657.7207
08.02.2018 10:00:00.000 GMT-0600,1.22602,1.22730,1.22324,1.22643,81468.2598
08.02.2018 14:00:00.000 GMT-0600,1.22642,1.22654,1.22422,1.22608,27439.829899999997
08.02.2018 18:00:00.000 GMT-0600,1.22611,1.22638,1.22406,1.22573,44022.2793
08.02.2018 22:00:00.000 GMT-0600,1.22572,1.22875,1.22481,1.22839,39863.3198
09.02.2018 02:00:00.000 GMT-0600,1.22839,1.22840,1.22340,1.22411,61823.0703
09.02.2018 06:00:00.000 GMT-0600,1.22411,1.22798,1.22274,1.22491,80122.6289
09.02.2018 10:00:00.000 GMT-0600,1.22487,1.22488,1.22058,1.22314,80795.7696
09.02.2018 14:00:00.000 GMT-0600,1.22315,1.22554,1.22298,1.22535,25585.6206
11.02.2018 14:00:00.000 GMT-0600,1.22501,1.22535,1.22431,1.22527,6808.240099999999
11.02.2018 18:00:00.000 GMT-0600,1.22527,1.22901,1.22520,1.22871,27029.449699999997
11.02.2018 22:00:00.000 GMT-0600,1.22870,1.22971,1.22693,1.22698,34807.5596
12.02.2018 02:00:00.000 GMT-0600,1.22696,1.22828,1.22587,1.22701,53405.4395
12.02.2018 06:00:00.000 GMT-0600,1.22700,1.22801,1.22353,1.22771,59442.1103
12.02.2018 10:00:00.000 GMT-0600,1.22770,1.22900,1.22612,1.22829,48698.9404
12.02.2018 14:00:00.000 GMT-0600,1.22830,1.23076,1.22820,1.23008,23626.0702
12.02.2018 18:00:00.000 GMT-0600,1.23010,1.23017,1.22847,1.22921,31046.2197
12.02.2018 22:00:00.000 GMT-0600,1.22921,1.23322,1.22917,1.23166,42557.1298
13.02.2018 02:00:00.000 GMT-0600,1.23166,1.23516,1.23101,1.23395,57270.25
13.02.2018 06:00:00.000 GMT-0600,1.23394,1.23713,1.23267,1.23583,60253.3008
13.02.2018 10:00:00.000 GMT-0600,1.23584,1.23684,1.23449,1.23548,44720.9004
13.02.2018 14:00:00.000 GMT-0600,1.23552,1.23660,1.23479,1.23540,22853.9905
13.02.2018 18:00:00.000 GMT-0600,1.23540,1.23927,1.23515,1.23900,37344.1602
13.02.2018 22:00:00.000 GMT-0600,1.23900,1.23926,1.23645,1.23729,40143.3398
14.02.2018 02:00:00.000 GMT-0600,1.23728,1.23862,1.23422,1.23426,47967.1406
14.02.2018 06:00:00.000 GMT-0600,1.23426,1.24070,1.22763,1.24032,87935.91010000001
14.02.2018 10:00:00.000 GMT-0600,1.24035,1.24425,1.23851,1.24370,67968.1211
14.02.2018 14:00:00.000 GMT-0600,1.24369,1.24700,1.24343,1.24686,30389.0498
14.02.2018 18:00:00.000 GMT-0600,1.24686,1.24736,1.24483,1.24596,36855.0996
14.02.2018 22:00:00.000 GMT-0600,1.24596,1.25105,1.24550,1.25005,45121.090800000005
15.02.2018 02:00:00.000 GMT-0600,1.25004,1.25041,1.24654,1.24721,59417.5889
15.02.2018 06:00:00.000 GMT-0600,1.24721,1.25059,1.24614,1.24775,73261.7802
15.02.2018 10:00:00.000 GMT-0600,1.24775,1.25081,1.24574,1.25079,60950.6103
15.02.2018 14:00:00.000 GMT-0600,1.25080,1.25091,1.24958,1.25032,23497.859300000004
15.02.2018 18:00:00.000 GMT-0600,1.25031,1.25455,1.24975,1.25397,30362.0904
15.02.2018 22:00:00.000 GMT-0600,1.25397,1.25556,1.25267,1.25293,42503.2598
16.02.2018 02:00:00.000 GMT-0600,1.25293,1.25420,1.24745,1.24828,61723.5898
16.02.2018 06:00:00.000 GMT-0600,1.24828,1.24846,1.24291,1.24479,78811.7402
16.02.2018 10:00:00.000 GMT-0600,1.24480,1.24600,1.23935,1.24164,57323.719699999994
16.02.2018 14:00:00.000 GMT-0600,1.24160,1.24165,1.24043,1.24123,15271.1001
18.02.2018 14:00:00.000 GMT-0600,1.24035,1.24206,1.24035,1.24121,6533.2297
18.02.2018 18:00:00.000 GMT-0600,1.24122,1.24352,1.24112,1.24212,25050.329999999998
18.02.2018 22:00:00.000 GMT-0600,1.24213,1.24241,1.23880,1.24126,38231.689999999995
19.02.2018 02:00:00.000 GMT-0600,1.24124,1.24271,1.23944,1.24239,45282.4903
19.02.2018 06:00:00.000 GMT-0600,1.24240,1.24265,1.23693,1.23974,45163.890699999996
19.02.2018 10:00:00.000 GMT-0600,1.23971,1.24159,1.23916,1.24082,25782.3106
19.02.2018 14:00:00.000 GMT-0600,1.24080,1.24128,1.23947,1.24006,15326.099900000001
19.02.2018 18:00:00.000 GMT-0600,1.24004,1.24109,1.23796,1.23861,29219.950699999998
19.02.2018 22:00:00.000 GMT-0600,1.23862,1.23969,1.23568,1.23605,39597.9194
20.02.2018 02:00:00.000 GMT-0600,1.23605,1.23733,1.23333,1.23487,60847.9599
20.02.2018 06:00:00.000 GMT-0600,1.23487,1.23620,1.23201,1.23409,64954.25
20.02.2018 10:00:00.000 GMT-0600,1.23411,1.23579,1.23259,1.23354,48945.9502
20.02.2018 14:00:00.000 GMT-0600,1.23351,1.23416,1.23293,1.23358,17953.2197
20.02.2018 18:00:00.000 GMT-0600,1.23357,1.23450,1.23241,1.23308,31685.3999
20.02.2018 22:00:00.000 GMT-0600,1.23305,1.23399,1.23104,1.23161,38813.5298
21.02.2018 02:00:00.000 GMT-0600,1.23156,1.23360,1.23078,1.23161,52010.0302
21.02.2018 06:00:00.000 GMT-0600,1.23161,1.23357,1.23002,1.23199,75813.6504
21.02.2018 10:00:00.000 GMT-0600,1.23197,1.23602,1.22995,1.23026,69145.19140000001
21.02.2018 14:00:00.000 GMT-0600,1.23024,1.23026,1.22737,1.22807,29935.899999999998
21.02.2018 18:00:00.000 GMT-0600,1.22809,1.22850,1.22655,1.22775,32059.919499999996
21.02.2018 22:00:00.000 GMT-0600,1.22775,1.22808,1.22598,1.22732,33341.1294
22.02.2018 02:00:00.000 GMT-0600,1.22731,1.22990,1.22653,1.22862,57726.6396
22.02.2018 06:00:00.000 GMT-0600,1.22861,1.23523,1.22648,1.23221,219136.0742
22.02.2018 10:00:00.000 GMT-0600,1.23221,1.23446,1.23142,1.23314,45000.270599999996
22.02.2018 14:00:00.000 GMT-0600,1.23316,1.23377,1.23197,1.23259,22471.9303
22.02.2018 18:00:00.000 GMT-0600,1.23257,1.23319,1.23022,1.23073,29206.1499
22.02.2018 22:00:00.000 GMT-0600,1.23073,1.23102,1.22800,1.22954,32191.6503
23.02.2018 02:00:00.000 GMT-0600,1.22951,1.23211,1.22880,1.23065,52392.1397
23.02.2018 06:00:00.000 GMT-0600,1.23066,1.23186,1.22874,1.22997,52685.75
23.02.2018 10:00:00.000 GMT-0600,1.22996,1.23081,1.22853,1.22964,43588.6601
23.02.2018 14:00:00.000 GMT-0600,1.22966,1.23055,1.22887,1.22975,15622.4404
25.02.2018 14:00:00.000 GMT-0600,1.22953,1.22968,1.22814,1.22887,7905.7402
25.02.2018 18:00:00.000 GMT-0600,1.22887,1.23191,1.22806,1.23105,33759.359800000006
25.02.2018 22:00:00.000 GMT-0600,1.23106,1.23348,1.23076,1.23201,36618.3105
26.02.2018 02:00:00.000 GMT-0600,1.23201,1.23552,1.23160,1.23358,50308.1201
26.02.2018 06:00:00.000 GMT-0600,1.23359,1.23374,1.22777,1.22898,62129.9502
26.02.2018 10:00:00.000 GMT-0600,1.22898,1.23174,1.22867,1.23118,38841.149900000004
26.02.2018 14:00:00.000 GMT-0600,1.23119,1.23201,1.23079,1.23156,17686.4102
26.02.2018 18:00:00.000 GMT-0600,1.23156,1.23430,1.23149,1.23245,28938.4097
